A,B,C,D
296.298217,120.9187945,85.85392645,102.3262941
1031.019312,135.6541817,327.9448972,61.01662496
3.5682538,51.55695481,518.8608048,60.14443532
250.9187884,161.0082732,137.3034739,28.24518579
785.8564523,133.5479712,89.44375106,79.83777198
1358.144096,104.8951677,428.0441998,56.41390875
1215.808158,90.87532591,201.0297779,53.97082062
1399.117302,104.1737321,30.09274832,31.12324806
366.2797549,119.6327037,3.851817704,53.24691287
1534.850959,278.7286263,84.92642355,-5.135072476
316.6945991,282.6146868,29.24624848,28.29311283
757.1616063,110.9866956,36.65566413,26.53375707
58.75485437,78.05952246,5.440964337,19.13178366
23.37225061,156.6318513,16.07729753,29.01234901
346.4321331,65.80342765,48.32309467,27.154233
1215.093089,126.7176417,20.43209981,72.59157507
1301.183615,164.6451693,44.11617794,46.69458683
137.426895,51.89536034,64.94624366,64.10572711
595.7326507,103.9693483,19.00585516,76.35640055
69.31370636,96.64626659,128.0246796,91.12128498
142.5132324,74.71256504,2.003378005,17.41323385
0.447371509,67.77467602,153.6624611,60.65796904
555.9041412,104.0435516,42.16039588,97.99181249
321.6481117,86.17867518,42.46176196,85.62342077
509.3612312,54.11816758,96.64339091,60.26913844
2402.676972,120.7741265,182.6653595,35.4363322
807.7360279,68.3854498,82.95855762,40.89037262
410.3697874,61.67165397,271.288775,45.85583671
597.1225053,103.0662351,178.9515878,44.21749111
114.3622426,33.52270399,34.84260878,27.38975101
1515.204084,124.5936861,36.76652807,18.32656177
691.836922,148.902033,121.7277091,23.3288531
1093.244942,80.99198655,21.01605742,15.76921709
841.8997312,135.2186418,85.19181359,70.6810522
1613.307767,107.6344351,50.22256846,40.18421344
3243.501924,156.6271224,37.655452,62.34974284
3590.357276,211.664763,53.40463479,40.50714437
115.0979958,68.46475865,126.4330671,67.89982297
467.9111168,138.6794992,84.42953948,61.00816662
7666.354635,81.21603537,30.34051375,27.45465284
415.698785,115.2998953,138.4443042,38.84199994
1.29492031,550.1635811,1.777949383,-9.597429773
1310.844297,75.22295179,109.0624141,61.59363479
844.6846778,64.85255658,452.6360359,52.77291867
767.8019433,44.17636778,84.68427344,79.38668917
2343.990915,49.04694096,471.2615558,35.35129225
86.90870292,151.7365313,12.62022395,34.9109705
279.9600223,73.82626428,35.97044116,37.09959856
204.8213207,75.21233633,105.5214151,67.45418393
454.5815163,84.08555054,5.874246315,50.28451166
1251.247237,79.60960769,113.9663767,49.1928639
3903.93505,61.48583091,37.97207699,76.82876157
746.9869451,131.3220873,66.2423971,57.68162769
3061.84816,39.11358117,63.96248803,21.7285992
370.3035572,101.5111454,23.97979114,15.85414476
291.0506561,103.1594255,234.9796038,20.21484498
1256.210681,68.39801918,278.5277164,3.077901334
254.4240368,126.5683044,6.620745598,14.40540855
1918.47063,79.55592307,14.02511923,24.9819923
994.1749554,76.52490959,35.10096225,17.84895922
406.6969422,191.4204716,677.2763945,2.238818107
734.9590053,101.9699581,141.2831211,75.4925293
1148.474846,43.18957419,48.23079993,64.18386354
637.2017479,155.3485169,57.97574715,76.37454172
287.134116,115.5683465,109.2082527,58.58420636
760.8301753,118.5159106,28.19687964,50.24796131
97.86143946,85.02943658,6.935821846,72.84401951
279.10467,98.51336309,358.5902066,55.11446126
512.7327228,122.6241336,52.80663994,27.22057848
565.6943689,52.38101077,264.1730367,46.86314244
752.6866058,30.85797118,72.47124507,18.43234968
575.4044312,52.73782235,66.07345888,74.1840411
742.8415017,67.84944207,78.77847507,29.79549296
3334.901929,239.2873855,201.2183796,82.4041441
460.2994113,77.74609886,89.03468789,9.794976073
313.5310845,118.0755989,327.5811333,34.3309442
1151.140587,452.426121,245.5361805,20.25692048
822.4078696,104.3934369,763.5584943,56.59062372
1592.453621,86.58609395,35.15208515,36.28083377
183.7226562,151.3723541,48.85227958,22.59775336
5055.551124,158.0332819,91.57278423,64.83110771
1914.453007,92.4670795,98.38006344,31.49279329
813.5859375,61.52942329,21.21344003,6.020099877
